"","stfdem","cntry","SatEcon","incpart","Female","AgeResp","Unemp","Religiosity","SocTrust","LRSP","IncDec","YearsEdu","Crtsame","fairelcc","cttresa","fairelc","gvexpdc","Poverty","Inequality"
"20123",8,"NO",8,1,2,30,1,2,6.66666666666667,3,2,16,8,10,10,10,9,4.24264068711928,2.82842712474619
"20124",3,"NO",6,0,1,63,0,1,6.33333333333333,2,3,16,2,2,3,10,10,5.65685424949238,1.4142135623731
"20125",8,"NO",10,0,2,79,0,5,6.66666666666667,5,4,11,9,10,10,10,10,1.4142135623731,1.4142135623731
"20126",6,"NO",7,0,2,31,0,5,3.66666666666667,6,10,16,4,4,9,8,9,2.82842712474619,4.94974746830583
"20127",7,"NO",8,0,1,61,0,7,7,5,4,11,6,9,10,10,10,2.12132034355964,1.4142135623731
"20128",7,"NO",7,0,2,32,0,5,8,3,7,16,10,10,10,8,10,4.94974746830583,2.12132034355964
"20129",6,"NO",8,0,2,61,0,7,4.66666666666667,5,3,9,10,10,10,10,9,3.53553390593274,2.12132034355964
"20130",8,"NO",8,0,2,39,0,6,7.66666666666667,8,7,4,7,10,10,10,10,2.12132034355964,0
"20131",5,"PL",5,0,2,39,0,8,0,10,8,15,2,8,10,10,10,5.65685424949238,5.65685424949238
"20132",2,"PL",5,0,1,67,0,10,6,9,3,10,0,5,10,10,10,7.07106781186548,7.07106781186548
"20133",2,"PL",6,0,1,69,0,7,4.33333333333333,7,3,10,1,0,10,10,10,7.07106781186548,6.36396103067893
"20134",3,"PL",2,0,2,67,0,8,0,5,1,7,4,5,9,9,9,2.82842712474619,2.82842712474619
"20135",3,"PL",2,0,1,53,0,5,4.33333333333333,5,8,11,1,6,10,10,10,6.36396103067893,6.36396103067893
"20136",8,"PL",7,0,1,15,0,9,1.66666666666667,5,2,7,10,8,10,10,10,2.82842712474619,1.4142135623731
"20137",3,"PL",2,0,2,19,0,8,4.33333333333333,5,8,13,5,9,10,10,10,4.94974746830583,3.53553390593274
"20138",0,"PL",0,0,2,45,0,8,1.33333333333333,3,6,12,3,10,10,5,10,6.36396103067893,1.4142135623731
"20139",7,"PL",5,0,1,16,0,10,6.33333333333333,4,4,9,7,9,10,10,10,2.12132034355964,1.4142135623731
"20140",3,"PL",3,0,1,46,0,10,1.33333333333333,8,3,11,9,7,9,10,8,0,0.707106781186548
"20141",3,"PL",2,0,2,78,0,10,6.33333333333333,7,3,13,2,10,6,9,6,2.12132034355964,2.82842712474619
"20142",5,"PL",8,0,1,32,0,5,3.33333333333333,5,3,12,2,7,9,8,8,3.53553390593274,3.53553390593274
"20143",5,"PL",5,0,1,39,0,10,6.33333333333333,7,5,11,4,8,8,9,6,3.53553390593274,3.53553390593274
"20144",3,"PL",2,0,1,81,0,10,1.33333333333333,7,5,9,1,7,10,10,10,5.65685424949238,5.65685424949238
"20145",1,"PL",0,0,1,38,0,6,0,0,5,14,1,7,10,10,10,6.36396103067893,7.07106781186548
"20146",2,"PL",3,0,2,80,0,7,2.33333333333333,1,4,11,1,6,10,10,10,7.07106781186548,7.07106781186548
"20147",6,"PL",5,0,1,57,0,10,4.33333333333333,10,9,11,4,7,4,7,7,0,1.4142135623731
"20148",8,"PL",7,0,2,34,0,7,6.33333333333333,9,7,19,8,10,10,10,10,2.82842712474619,1.4142135623731
"20149",5,"PL",5,0,1,54,0,5,3,5,8,13,2,7,9,10,9,4.24264068711928,0.707106781186548
"20150",5,"PL",5,0,1,62,0,5,2.66666666666667,0,9,16,2,8,10,10,10,5.65685424949238,5.65685424949238
"20151",6,"PL",5,0,2,34,0,8,6.33333333333333,7,9,17,1,4,10,10,10,4.94974746830583,4.24264068711928
"20152",4,"PL",5,0,2,55,0,8,2.5,4,2,12,2,3,10,10,10,6.36396103067893,6.36396103067893
"20153",0,"PL",5,0,1,56,0,10,1.66666666666667,5,2,8,5,10,10,10,10,3.53553390593274,3.53553390593274
"20154",5,"PL",5,0,2,40,0,5,3.33333333333333,8,1,11,8,10,10,10,10,7.07106781186548,7.07106781186548
"20155",8,"PL",5,0,1,33,0,7,5.66666666666667,8,7,13,8,9,10,10,8,3.53553390593274,4.24264068711928
"20156",5,"PL",5,0,2,19,0,8,4.33333333333333,5,5,13,6,10,10,10,10,3.53553390593274,1.4142135623731
"20157",5,"PL",5,0,2,48,0,9,5.66666666666667,3,1,8,9,8,10,8,9,1.4142135623731,1.4142135623731
"20158",4,"PL",6,0,1,48,0,5,0,7,4,13,2,10,10,10,10,5.65685424949238,4.24264068711928
"20159",2,"PL",0,0,2,25,1,3,2.33333333333333,5,2,18,0,2,10,10,10,7.07106781186548,7.07106781186548
"20160",4,"PL",4,0,2,39,0,6,7.33333333333333,4,7,19,2,8,10,10,10,4.94974746830583,3.53553390593274
"20161",6,"PL",4,0,1,53,0,7,4.66666666666667,5,8,20,3,8,10,10,10,4.24264068711928,4.24264068711928
"20162",8,"PL",8,0,1,37,0,5,5,5,6,11,7,10,10,10,10,4.24264068711928,4.94974746830583
"20163",3,"PL",5,0,1,62,0,7,3.66666666666667,10,1,10,3,8,10,10,10,3.53553390593274,3.53553390593274
"20164",6,"PL",2,0,2,72,0,3,4.66666666666667,5,6,11,2,5,10,10,10,4.94974746830583,6.36396103067893
"20165",8,"PL",4,0,1,34,0,3,3,6,9,14,6,8,10,10,8,1.4142135623731,2.12132034355964
"20166",8,"PL",2,0,2,43,0,7,4,8,9,11,3,10,10,8,10,6.36396103067893,6.36396103067893
"20167",3,"PL",3,0,1,63,0,10,5.66666666666667,10,7,10,0,3,10,3,10,7.07106781186548,7.07106781186548
"20168",5,"PL",6,0,1,49,0,1,4.33333333333333,4,6,17,7,7,10,10,10,0.707106781186548,2.12132034355964
"20169",0,"PL",0,0,2,52,0,1,2.33333333333333,0,6,13,2,5,10,10,10,7.07106781186548,5.65685424949238
"20170",4,"PL",4,0,2,18,0,7,6.33333333333333,5,5,12,5,8,10,9,10,4.24264068711928,1.4142135623731
"20171",5,"PL",6,0,1,36,0,5,3,4,6,15,3,9,10,10,10,5.65685424949238,6.36396103067893
"20172",4,"PL",4,0,2,30,1,3,4,5,4,11,4,4,10,4,10,7.07106781186548,7.07106781186548
"20173",4,"PL",3,0,2,50,0,5,2,3,1,12,3,8,9,8,9,7.07106781186548,7.07106781186548
"20174",5,"PL",7,0,2,70,0,5,3.33333333333333,2,9,16,2,5,10,10,5,1.4142135623731,1.4142135623731
"20175",4,"PL",6,0,2,71,0,7,4,5,4,14,3,7,7,7,6,0.707106781186548,4.94974746830583
"20176",6,"PL",6,1,2,79,0,8,3,5,1,5,6,7,10,10,7,2.82842712474619,2.12132034355964
"20177",2,"PL",4,0,1,33,0,9,2.66666666666667,10,9,18,3,7,10,10,10,5.65685424949238,6.36396103067893
"20178",9,"PL",4,0,2,68,0,7,3.66666666666667,5,4,10,8,10,10,10,10,7.07106781186548,6.36396103067893
"20179",7,"PL",3,0,2,37,0,9,4.33333333333333,10,5,17,9,10,10,10,10,0.707106781186548,2.82842712474619
"20180",7,"PL",4,1,2,44,0,4,6.66666666666667,10,5,12,5,9,10,10,10,5.65685424949238,5.65685424949238
"20181",4,"PL",6,0,2,21,0,6,6.33333333333333,5,3,14,4,10,10,10,10,6.36396103067893,6.36396103067893
"20182",8,"PL",4,0,1,29,1,8,6,6,2,15,8,10,10,10,10,4.24264068711928,3.53553390593274
"20183",5,"PL",5,0,1,54,0,5,3.33333333333333,0,9,14,7,5,10,10,10,7.07106781186548,5.65685424949238
"20184",6,"PL",6,0,1,31,0,9,6.33333333333333,2,4,19,5,7,10,10,10,2.82842712474619,3.53553390593274
"20185",5,"PL",7,1,1,48,0,5,5,7,10,19,5,8,10,10,10,2.12132034355964,3.53553390593274
"20186",3,"PL",5,0,2,64,0,10,5,9,1,8,5,9,10,8,9,4.94974746830583,4.94974746830583
"20187",8,"PL",6,0,1,46,0,2,4.33333333333333,5,6,11,7,10,10,10,10,2.82842712474619,2.12132034355964
"20188",2,"PL",1,0,2,24,0,7,3,5,4,14,3,0,10,10,10,7.07106781186548,7.07106781186548
"20189",2,"PL",3,0,2,29,0,6,2.66666666666667,3,4,11,3,10,10,10,10,4.24264068711928,3.53553390593274
"20190",3,"PL",3,1,2,84,0,10,5,10,3,13,1,5,10,10,10,6.36396103067893,6.36396103067893
"20191",7,"PL",7,1,2,34,0,1,6.33333333333333,6,10,18,4,10,10,10,10,2.12132034355964,2.12132034355964
"20192",8,"PL",6,0,2,23,0,6,6.33333333333333,5,6,16,6,9,10,10,10,4.24264068711928,4.94974746830583
"20193",6,"PL",8,0,1,56,0,6,3.33333333333333,7,5,10,10,8,10,10,10,1.4142135623731,2.82842712474619
"20194",4,"PL",5,0,2,79,0,10,4.33333333333333,8,4,4,5,10,10,10,10,4.24264068711928,4.94974746830583
"20195",5,"PL",4,0,2,34,0,6,3.33333333333333,5,6,17,2,7,10,8,10,6.36396103067893,6.36396103067893
"20196",4,"PL",5,0,2,39,0,4,3,5,9,18,2,6,10,9,10,5.65685424949238,4.24264068711928
"20197",3,"PL",4,0,2,47,0,10,6.66666666666667,9,4,12,2,1,10,10,10,6.36396103067893,6.36396103067893
"20198",5,"PL",3,0,2,36,1,7,4.66666666666667,5,4,11,5,10,10,10,10,3.53553390593274,0
"20199",4,"PL",4,0,1,66,0,9,2.33333333333333,10,3,10,6,10,10,10,9,3.53553390593274,2.12132034355964
"20200",2,"PL",0,0,2,60,0,9,6.33333333333333,9,2,10,0,9,10,10,10,7.07106781186548,7.07106781186548
"20201",5,"PL",5,1,2,64,0,8,5.33333333333333,5,2,10,2,8,10,10,10,4.94974746830583,6.36396103067893
"20202",7,"PL",6,0,1,34,1,6,5.33333333333333,7,9,18,8,9,10,10,10,3.53553390593274,6.36396103067893
"20203",5,"PL",4,0,1,22,0,1,4.33333333333333,5,6,15,8,8,10,9,10,5.65685424949238,5.65685424949238
